nr;kuenstler_id;kuenstler;theoretiker_id;theoretiker;text;frage
79;robert-smithson;Robert Smithson;henri-bergson;Henri Bergson;Henri Bergson kritisiert eine Vorstellung von Zeit, die Veränderung wie eine Reihe räumlich nebeneinanderliegender Zustände behandelt. Robert Smithson arbeitet dagegen mit tatsächlichem Raum und zugleich mit Entropie, also mit Veränderungen, die nicht einfach rückgängig gemacht werden können. Spiral Jetty bleibt räumlich lokalisierbar und verändert sich dennoch mit Wasserstand, Salz, Material und Zeit. Die Stelle bleibt auffindbar, ohne einen identischen Zustand zu garantieren.;Was bedeutet es, an denselben Ort zurückzukehren, wenn der Ort selbst Zeit aufgenommen hat?
80;robert-smithson;Robert Smithson;karen-barad;Karen Barad;Karen Barad macht den Apparat zum Bestandteil dessen, was durch eine Beobachtung bestimmbar wird. Robert Smithsons Site/Non-Site trennt ebenfalls nicht sauber zwischen Gegenstand und Darstellung: Material, Karte, Galerie und entfernter Ort verweisen wechselseitig aufeinander. Der Ausstellungsraum zeigt den Ort nicht einfach, sondern erzeugt eine bestimmte Möglichkeit, ihn zu beobachten. Dennoch bleibt der entfernte Ort außerhalb dieser Anordnung und besitzt eine Geschichte, die das Museum nicht kontrolliert.;Wo endet ein Apparat, wenn das, was er beobachtbar macht, räumlich außerhalb von ihm weitergeschieht?
81;robert-smithson;Robert Smithson;lucy-suchman;Lucy Suchman;Lucy Suchman betont, dass Situationen nicht vollständig durch vorausgehende Pläne determiniert werden. Robert Smithsons Interesse an Entropie konfrontiert räumliche Planung mit einer ähnlichen Grenze. Eine Form kann angelegt werden, doch Material, Wetter und Landschaft setzen ihre Geschichte fort. Bei Spiral Jetty verändern natürliche Kräfte das Werk fortlaufend. Die künstlerische Entscheidung erzeugt damit keine abgeschlossene Form, sondern Bedingungen einer weiteren Geschichte.;Wann endet die Ausführung eines Plans, wenn seine Materialien nach der Ausführung weiterhandeln?
82;james-turrell;James Turrell;donna-haraway;Donna Haraway;James Turrell kontrolliert Licht und Architektur so präzise, dass Wahrnehmung selbst auffällig werden kann. Donna Haraway besteht darauf, dass es keinen Blick von nirgendwo gibt. Turrell macht diese Situiertheit körperlich erfahrbar: Schon eine andere Position, Adaptation oder Lichtsituation verändert, was gesehen werden kann. Wahrnehmung besitzt also eine Stelle und eine Geschichte. Doch die Installation versucht zugleich, sehr unterschiedliche Körper in eine gemeinsame Wahrnehmungssituation zu bringen.;Wie gemeinsam kann eine Wahrnehmung sein, wenn jeder Blick von einer anderen körperlichen Stelle ausgeht?
83;james-turrell;James Turrell;michel-foucault;Michel Foucault;Michel Foucault untersucht Anordnungen, die Sichtbarkeit organisieren: Wer kann wen, was und von welcher Position aus sehen? James Turrell reduziert diese politische Frage scheinbar auf Licht, Architektur und Wahrnehmung. Doch auch seine Räume bestimmen sehr genau, wo jemand stehen, wohin jemand blicken und was überhaupt erscheinen kann. Sichtbarkeit ist damit nicht bloß Eigenschaft eines Gegenstandes, sondern Ergebnis einer Anordnung.;Wie wird Sichtbarkeit organisiert?
84;dan-graham;Dan Graham;george-spencer-brown;George Spencer-Brown;George Spencer-Brown beschreibt nicht nur das Ziehen einer Grenze, sondern auch die Möglichkeit, dass eine Unterscheidung wieder in den Bereich eintritt, den sie selbst erzeugt hat. Dan Grahams Spiegel und Videoverzögerungen machen eine solche Rückkehr sichtbar. Die Beobachterin erscheint in der eigenen Beobachtung wieder, aber zeitlich verschoben und aus einer neuen Position. Selbstbeobachtung ist deshalb keine Rückkehr zum Ausgangspunkt.;Was geschieht, wenn eine Unterscheidung auf sich selbst zurückkommt?
85;dan-graham;Dan Graham;hannah-arendt;Hannah Arendt;Hannah Arendt verbindet Öffentlichkeit mit einem Raum, in dem Menschen voreinander erscheinen. Dan Graham macht dieses Erscheinen selbst beobachtbar: Spiegel, Glas und Video lassen Menschen sich selbst beim Gesehenwerden sehen. In seinen Time-Delay-Anordnungen kann die eigene Vergangenheit wenige Sekunden später Teil dieser Situation werden. Erscheinen bedeutet dann nicht nur, für andere sichtbar zu sein, sondern auch die eigene Sichtbarkeit zurückzuerhalten.;Wie verändert sich öffentliches Handeln, wenn wir uns gleichzeitig aus der Perspektive unserer Beobachter beobachten können?
86;felix-gonzalez-torres;Felix Gonzalez-Torres;henri-bergson;Henri Bergson;"Felix Gonzalez-Torres schafft Arbeiten, deren Material vom Publikum entnommen werden kann und deren Bestand später wieder ergänzt werden darf. Henri Bergson versteht Dauer nicht als Folge austauschbarer Zustände, sondern als Veränderung, in der Vergangenes im Gegenwärtigen weiterwirkt. Gonzalez-Torres' Werk kann materiell zu einem früheren Gewicht zurückkehren, ohne deshalb zu einem früheren Zustand zurückzukehren. Die neuen Bonbons ersetzen die entnommenen; sie machen deren Geschichte nicht ungeschehen.";Kann etwas materiell wiederhergestellt werden, ohne zeitlich zurückzukehren?
87;felix-gonzalez-torres;Felix Gonzalez-Torres;jacques-derrida;Jacques Derrida;Jacques Derrida macht Wiederholbarkeit zur Bedingung dafür, dass etwas über seinen ursprünglichen Kontext hinaus fortbestehen kann. Felix Gonzalez-Torres treibt diese Wiederholbarkeit bis in die materielle Identität des Kunstwerks: Papier kann mitgenommen, Süßigkeiten können gegessen und Bestände erneut hergestellt werden. Das Werk bleibt, indem sein Material nicht bleiben muss. Seine Identität liegt weder vollständig im einzelnen Gegenstand noch unabhängig von jeder materiellen Ausführung.;Was muss wiederholbar sein, damit etwas trotz des Verschwindens seiner Bestandteile als dasselbe wiederkehren kann?
88;felix-gonzalez-torres;Felix Gonzalez-Torres;gregory-bateson;Gregory Bateson;"Gregory Bateson fragt nach Unterschieden, die innerhalb eines Zusammenhangs weitere Unterschiede machen. Bei Felix Gonzalez-Torres darf eine Besucherin tatsächlich einen Teil des Werks entfernen; der Bestand verändert sich und kann später wieder ergänzt werden. Eine minimale Handlung verändert damit zugleich Material, Erscheinung, Verhältnis zum Publikum und zukünftige Möglichkeiten des Werks. Nicht jede Entnahme ist isoliert: Sie verändert die Situation für die nächste Person.";Wann wird die Handlung einer einzelnen Betrachterin zu einer Bedingung für die Wahrnehmung der nächsten?
89;agnes-martin;Agnes Martin;niklas-luhmann;Niklas Luhmann;"Agnes Martin stellt dem Sehen eine äußerst stabile Ordnung aus Linien, Abständen und Wiederholungen bereit. Niklas Luhmann unterscheidet Wahrnehmung und Kommunikation als verschiedene Operationen: Kommunikation kann Wahrnehmung voraussetzen und auf sie reagieren, sie aber nicht selbst vollziehen. Martins Bilder machen diese Grenze unmittelbar spürbar. Man kann Raster, Maße und Materialien beschreiben; damit ist nicht wiederholt, was jemand vor dem Bild gesehen hat. Zugleich kann gerade die stabile Form immer neue Wahrnehmungsereignisse auslösen.";Wie kann über eine Wahrnehmung kommuniziert werden, wenn die Wahrnehmung selbst nicht mitgeteilt werden kann?
90;james-turrell;James Turrell;niklas-luhmann;Niklas Luhmann;James Turrell baut Situationen, in denen nicht ein dargestellter Gegenstand, sondern das Sehen selbst auffällig werden kann. Niklas Luhmanns Kunsttheorie interessiert sich für die Kopplung von Wahrnehmung und Kommunikation: Kunst kommuniziert nicht dadurch, dass sie die Wahrnehmung des Betrachters übernimmt. Sie stellt Formen bereit, an denen weiter wahrgenommen und kommuniziert werden kann. Bei Turrell wird diese Differenz besonders radikal, weil sich kaum sagen lässt, welcher „Inhalt“ übertragen werden sollte. Die Installation organisiert Bedingungen des Sehens, sehen muss jeder Körper selbst.;Kann ein Kunstwerk kommunizieren, indem es gerade nichts überträgt, sondern Wahrnehmung geschehen lässt?
91;dan-graham;Dan Graham;heinz-von-foerster;Heinz von Foerster;Dan Graham baut Situationen, in denen Beobachter:innen ihre eigene Beobachtung zurückerhalten: durch Spiegel, Glas, Kameras und zeitliche Verzögerungen. Heinz von Foerster macht aus dieser Rückwendung ein theoretisches Problem: Jede Beobachtung besitzt einen blinden Fleck, weil sie ihre eigene Operation nicht gleichzeitig vollständig beobachten kann. Graham scheint diesen blinden Fleck technisch einholen zu wollen. Doch sobald mein Bild auf dem Monitor erscheint, sehe ich bereits eine frühere Operation aus einer neuen Gegenwart. Selbstbeobachtung produziert eine weitere Beobachtung, statt die erste vollständig sichtbar zu machen.;Wie oft müsste eine Beobachtung auf sich selbst zurückkehren, um den Moment ihres eigenen Beobachtens einzuholen?
92;william-kentridge;William Kentridge;niklas-luhmann;Niklas Luhmann;William Kentridge zeichnet, löscht und zeichnet weiter. Frühere Zustände verschwinden und bleiben zugleich als materielle Spuren auf dem Blatt erhalten. Niklas Luhmann beschreibt Gegenwart als Operation, in der Vergangenheit bereits festgelegt und Zukunft noch offen ist. Kentridges Verfahren gibt dieser Asymmetrie eine sichtbare Oberfläche: Der nächste Strich kann vieles verändern, aber das bereits Gezeichnete nicht ungeschehen machen, selbst Löschen hinterlässt Spuren. Vergangenheit begrenzt damit den Raum weiterer Möglichkeiten, ohne die nächste Zeichnung festzulegen.;Wie offen ist Zukunft, wenn die Vergangenheit schon Spuren hinterlassen hat?
93;felix-gonzalez-torres;Felix Gonzalez-Torres;niklas-luhmann;Niklas Luhmann;"Felix Gonzalez-Torres lässt Werke materiell abnehmen und wieder ergänzt werden, während sie institutionell als dieselben Werke fortbestehen können. Niklas Luhmann beschreibt Identität nicht notwendig als unveränderte Substanz, sondern als etwas, das über wechselnde Operationen hinweg für weitere Anschlüsse stabilisiert wird. Das passt erstaunlich gut, und doch bleibt eine Differenz. Das Museum kann entscheiden, dass eine erneuerte Installation dasselbe Werk ist; die gegessene Süßigkeit kehrt dadurch nicht zurück. Werkidentität und materielle Geschichte folgen verschiedenen Zeiten.";Wer oder was entscheidet, welche Veränderungen eine Identität überstehen darf?
94;mona-hatoum;Mona Hatoum;karen-barad;Karen Barad;Mona Hatoum verändert Maßstäbe, Materialien und räumliche Beziehungen so, dass vertraute Gegenstände ihre selbstverständliche Bedeutung verlieren können. Karen Barad richtet den Blick darauf, dass Eigenschaften und Grenzen nicht immer unabhängig von den materiellen Anordnungen existieren, in denen sie bestimmbar werden. Hatoums Arbeiten machen eine solche Abhängigkeit körperlich erfahrbar: Derselbe erkennbare Gegenstand kann durch Größe, Material oder Position eine vollkommen andere Beziehung zum Körper herstellen. Die Situation verändert nicht nur seine Interpretation, sondern die Möglichkeiten von Nähe, Bewegung und Berührung.;Welche Eigenschaften gehören einem Gegenstand, und welche entstehen erst zwischen Gegenstand, Anordnung und wahrnehmendem Körper?
95;doris-salcedo;Doris Salcedo;donna-haraway;Donna Haraway;Doris Salcedo gibt Verlust und Abwesenheit materielle Orte, ohne die Erfahrungen anderer einfach für gegenwärtig erklären zu können. Donna Haraway verlangt von Wissen, seine eigene Position und Begrenztheit mitzudenken. Diese Forderung wird bei Salcedo besonders heikel: Wie kann ein Werk auf eine Erfahrung verweisen, die weder die Künstlerin noch das Publikum übernehmen können? Material kann eine Stelle für Erinnerung schaffen, aber nicht den Standpunkt der Abwesenden ersetzen.;Wie kann eine Erfahrung öffentlich werden, ohne dass ihre Fremdheit dabei verschwindet?
96;christian-marclay;Christian Marclay;elena-esposito;Elena Esposito;"Christian Marclay konstruiert in The Clock eine Gegenwart aus bereits aufgezeichneten Vergangenheiten. Elena Esposito untersucht eine umgekehrte Operation: Gegenwärtige Daten werden benutzt, um Erwartungen über eine noch unbekannte Zukunft zu erzeugen. Zwischen beiden liegt derselbe operative Moment, die Gegenwart. Er wird jedoch in entgegengesetzte Richtungen geöffnet. Marclay lässt gespeicherte Bilder mit dem Jetzt zusammenfallen; Prognose lässt gespeicherte Daten auf ein mögliches Danach verweisen. Vergangenheit wird einmal synchronisiert und einmal extrapoliert.";Wie verändert Prognose unsere Gegenwart?
97;sol-lewitt;Sol LeWitt;lucy-suchman;Lucy Suchman;"Sol LeWitt kann ein Werk als Instruktion formulieren, die andere Personen an anderen Orten ausführen. Lucy Suchman bestreitet, dass ein Plan bereits die konkrete Handlung enthält, die aus ihm hervorgehen wird. Eine LeWitt-Instruktion wird dadurch zu einem beinahe idealen Experiment. Sie muss präzise genug sein, damit verschiedene Ausführungen als Realisierungen desselben Werks gelten können, und offen genug, dass ihre konkrete Gestalt erst vor Ort entsteht. Plan und Situation konkurrieren nicht; sie benötigen einander.";Wie genau muss eine Anweisung sein, damit ihre Ausführung noch ein Ereignis bleiben kann?
98;robert-smithson;Robert Smithson;susan-leigh-star;Susan Leigh Star;Robert Smithson trennt und verbindet in seinen Site/Non-Site-Arbeiten Landschaft, Material, Karte und Ausstellungsraum. Susan Leigh Star untersucht Grenzobjekte, die zwischen verschiedenen sozialen Welten zirkulieren können, ohne überall dasselbe zu bedeuten. Smithsons Non-Site könnte beinahe ein solches Grenzobjekt sein: Im Museum ist sie Kunstwerk, materieller Behälter, Karte und Verweis auf einen anderen Ort zugleich. Ihre Stabilität entsteht nicht dadurch, dass alle diese Perspektiven identisch werden.;Wie kann ein Objekt verschiedene Orte und Bedeutungen verbinden, ohne ihre Unterschiede aufzuheben?
99;james-turrell;James Turrell;claude-shannon;Claude Shannon;"Claude Shannon abstrahiert Information von ihrer Bedeutung und behandelt unterscheidbare Signale innerhalb eines bestimmbaren Möglichkeitsraums. James Turrell reduziert ebenfalls, aber in die entgegengesetzte Richtung. Statt Wahrnehmung auszuschließen, reduziert er Gegenstände und Bilder so weit, dass Unterschiede von Licht, Raum und Sehen selbst auffällig werden können. Shannon gewinnt Bestimmbarkeit, indem er den wahrnehmenden Körper methodisch entfernt; Turrell gewinnt Wahrnehmbarkeit, indem er dessen Bedingungen präzise organisiert. Beide benötigen unterscheidbare Zustände, aber nur einer muss erklären können, wie sie für einen Körper erscheinen.";Wann wird aus einem Unterschied zwischen Zuständen ein Unterschied in der Wahrnehmung?
100;agnes-martin;Agnes Martin;karen-barad;Karen Barad;Agnes Martins Raster scheint eine bereits vorhandene Fläche nur zu unterteilen. Karen Barad würde eine solche Trennung nicht als bloßes Abbild vorgegebener Unterschiede behandeln. Eine Grenze kann selbst daran mitwirken, was als Einheit, Abstand oder Abweichung erscheint. Martins Linien zeigen deshalb nicht nur Unterschiede, sie erzeugen Bedingungen, unter denen Unterschiede überhaupt sichtbar werden.;Welche Unterschiede erzeugt das Raster erst?
101;hanne-darboven;Hanne Darboven;n-katherine-hayles;N. Katherine Hayles;Hanne Darboven verwandelt Tage in Zahlen, Schrift und lange Folgen. N. Katherine Hayles erinnert daran, dass Information nie ohne eine materielle Form erscheint. Darbovens Notation lässt sich als System lesen, doch Handschrift, Papier, Rhythmus und Arbeitszeit gehören ebenso zum Werk. Was abstrakt übertragbar scheint, bleibt an einen konkreten Vollzug gebunden.;Was geht verloren, wenn nur die Information bleibt?
102;eva-hesse;Eva Hesse;elena-esposito;Elena Esposito;Eva Hesse entwirft klare serielle Ordnungen und verwendet Materialien, deren Zukunft sich nicht vollständig kontrollieren lässt. Elena Esposito untersucht, wie Erwartungen mit einer Zukunft umgehen, die noch offen ist. Bei Hesse trifft eine geplante Form auf Alterung, Schwerkraft und chemische Veränderung. Das Werk besitzt eine Struktur, aber keinen endgültig vorhersehbaren Zustand.;Wie offen bleibt eine geplante Form?
103;louise-bourgeois;Louise Bourgeois;donna-haraway;Donna Haraway;Louise Bourgeois macht Erinnerung räumlich, ohne sie zu einer allgemeinen Geschichte zu glätten. Donna Haraway fordert ein Wissen, das seinen eigenen Standpunkt kennt. In den Cells erscheinen Dinge deshalb nicht als neutrale Belege einer Vergangenheit. Sie sind an Körper, Biografie, Ort und Blickrichtung gebunden und bleiben trotzdem für andere zugänglich.;Wie wird eine persönliche Erinnerung für andere lesbar?
104;marina-abramovic;Marina Abramović;lucy-suchman;Lucy Suchman;Marina Abramović legt häufig wenige Regeln fest und überlässt viel dem tatsächlichen Zusammentreffen von Körpern. Lucy Suchman versteht Handlung als situierte Koordination, die sich im Verlauf einer Situation bildet. Haltung, Blick, Warten und Reaktion des Publikums sind deshalb nicht bloß äußere Begleitung der Performance. Sie verändern mit, was die Handlung in diesem Moment wird.;Wann wird Publikum zum Teil der Handlung?
105;rebecca-horn;Rebecca Horn;susan-leigh-star;Susan Leigh Star;Rebecca Horn erweitert Körper mit Apparaten, Federn, Stäben und Maschinen. Susan Leigh Star interessiert sich für Infrastrukturen, die Handlungen ermöglichen und gerade deshalb oft übersehen werden. Bei Horn tritt diese vermittelnde Schicht nach vorn. Die Verbindung zwischen Körper und Umgebung wird sichtbar, weil das technische Dazwischen selbst Teil der Wahrnehmung wird.;Was wird sichtbar, wenn Vermittlung nicht mehr verschwindet?
106;mona-hatoum;Mona Hatoum;wendy-hui-kyong-chun;Wendy Hui Kyong Chun;Mona Hatoum verändert vertraute Gegenstände so, dass Gewohnheit plötzlich keine sichere Orientierung mehr bietet. Wendy Hui Kyong Chun beschreibt Gewohnheit als eine Kraft, die technische und soziale Ordnungen stabil hält. Hatoum setzt genau dort an. Wenn ein Tisch, ein Küchengerät oder ein Raum nicht mehr so funktioniert wie erwartet, wird die Gewohnheit selbst bemerkbar.;Was sehen wir erst, wenn Gewohnheit versagt?
107;doris-salcedo;Doris Salcedo;judith-butler;Judith Butler;Doris Salcedo arbeitet mit Dingen und Räumen, die Spuren von Gewalt tragen, ohne vergangene Erfahrungen nachzustellen. Judith Butler fragt, wie Körper durch wiederholte gesellschaftliche Ordnungen lesbar und verletzbar werden. Salcedos Arbeiten zeigen keine abstrakte Verletzbarkeit. Sie geben ihren Folgen Gewicht, Material und Ort, ohne den abwesenden Körper zu ersetzen.;Wie wird Verletzbarkeit sichtbar, wenn der Körper fehlt?
108;tehching-hsieh;Tehching Hsieh;hannah-arendt;Hannah Arendt;Tehching Hsieh bindet sein Leben über lange Zeit an öffentlich erklärte Regeln. Hannah Arendt versteht Öffentlichkeit als einen Raum, in dem Handlungen vor anderen erscheinen und Teil einer gemeinsamen Welt werden. Hsiehs körperliche Dauer bleibt seine eigene Erfahrung, doch Vertrag, Dokumentation und Ausstellung machen sie öffentlich beobachtbar. Privat verbrachte Zeit erhält dadurch eine soziale Form.;Wann wird gelebte Zeit öffentlich?
109;william-kentridge;William Kentridge;karen-barad;Karen Barad;William Kentridge zeichnet, löscht, fotografiert und zeichnet erneut. Karen Barads Begriff der Intraaktion setzt nicht voraus, dass bereits fertige Akteure aufeinander treffen. Auch bei Kentridge lässt sich die entstehende Bewegung nicht sauber einer einzigen Instanz zuschreiben. Hand, Kohle, Papier, Radiergummi und Kamera bilden gemeinsam die Bedingungen dafür, was als nächste Figur erscheinen kann.;Wo liegt die Handlung zwischen Hand, Papier und Kamera?
110;bruce-nauman;Bruce Nauman;donna-haraway;Donna Haraway;Bruce Nauman zwingt Körper in Korridore, Wiederholungen und ungewohnte Blicksituationen. Donna Haraway widerspricht der Vorstellung eines Blicks ohne Standort. Naumans Räume machen diese Situiertheit körperlich spürbar. Wo man steht, wie man sich bewegt und was der eigene Körper gerade nicht sehen kann, wird Teil des Werks.;Was verändert sich, wenn der eigene Standpunkt auffällt?
111;dan-graham;Dan Graham;lucy-suchman;Lucy Suchman;Dan Graham plant Spiegelungen, Glasflächen und Videoverzögerungen sehr genau. Lucy Suchman zeigt jedoch, dass eine Anordnung nicht festlegt, wie Menschen sich darin tatsächlich verhalten. Bei Graham entsteht das Werk deshalb auch aus Reaktionen, Blicken und Bewegungen, die vorher nicht im Plan stehen. Die Konstruktion ist präzise, die Situation bleibt offen.;Was entsteht erst zwischen Plan und Handlung?
112;on-kawara;On Kawara;elena-esposito;Elena Esposito;On Kawara malt ein Datum nur an dem Tag, den es bezeichnet. Elena Esposito untersucht eine Zukunft, die in der Gegenwart erwartet, aber nicht gekannt werden kann. Kawaras Regel trennt diese beiden Seiten scharf. Das morgige Datum ist als Möglichkeit bekannt, doch als Bild kann es erst entstehen, wenn der Tag wirklich Gegenwart geworden ist.;Wann wird ein zukünftiges Datum Gegenwart?
113;felix-gonzalez-torres;Felix Gonzalez-Torres;judith-butler;Judith Butler;Felix Gonzalez-Torres lässt Werke durch Entnahme, Verbrauch und erneute Herstellung fortbestehen. Judith Butler beschreibt Identität nicht als festen Kern, sondern als etwas, das durch wiederholte Vollzüge wirksam bleibt. Bei Gonzalez-Torres bleibt das Werk erkennbar, obwohl seine materiellen Bestandteile wechseln. Seine Identität liegt in einer geregelten Wiederholung, nicht in unveränderter Substanz.;Wie viel Veränderung verträgt dieselbe Identität?
114;agnes-martin;Agnes Martin;henri-bergson;Henri Bergson;Agnes Martins Raster teilen die Fläche in regelmäßige Abstände. Henri Bergson warnt davor, gelebte Zeit wie eine Reihe gleichförmiger Stellen zu behandeln. Vor Martins Bildern treffen beide Ordnungen aufeinander. Das Raster bleibt ruhig, während Sehen, Aufmerksamkeit und Erinnerung sich im Verlauf der Betrachtung verändern.;Wie verändert Dauer ein scheinbar gleiches Bild?
115;hanne-darboven;Hanne Darboven;claude-shannon;Claude Shannon;Hanne Darboven macht Zeit mit Zahlen, Daten und Reihen vergleichbar. Claude Shannon beschreibt Information als Auswahl aus einem bestimmbaren Raum von Möglichkeiten und lässt Bedeutung dabei bewusst außen vor. Darbovens Notationen können gezählt und geordnet werden, doch ihre tägliche Herstellung trägt mehr als Information. Zeit erscheint hier auch als Arbeit, Handschrift und verbrachter Tag.;Was fehlt, wenn Zeit nur als Information erscheint?
116;eva-hesse;Eva Hesse;michel-serres;Michel Serres;Eva Hesses Arbeiten verbinden klare Wiederholung mit Materialien, die sich ihr nicht vollständig fügen. Michel Serres interessiert sich für Störung, Rauschen und Veränderung auf dem Weg einer Übertragung. Bei Hesse sitzt diese Störung nicht außerhalb des Werks. Alterung, Schwerkraft und Materialspannung verändern die Form von innen heraus.;Wann wird Material zur Störung?
117;rebecca-horn;Rebecca Horn;niklas-luhmann;Niklas Luhmann;Rebecca Horn verändert mit technischen Erweiterungen, was ein Körper erreichen und wahrnehmen kann. Niklas Luhmann trennt Wahrnehmung und Kommunikation als verschiedene Vorgänge. Horns Apparate können Bewegungen ordnen und Situationen herstellen, aber sie nehmen nicht anstelle des Körpers wahr. Gerade diese Grenze macht sichtbar, wie viel Vermittlung nötig ist, ohne dass Wahrnehmung übertragbar wird.;Was kann ein Apparat vermitteln, ohne wahrzunehmen?
118;doris-salcedo;Doris Salcedo;jacques-derrida;Jacques Derrida;Doris Salcedo gibt Verlust eine materielle Spur, ohne das Verlorene wieder anwesend zu machen. Jacques Derrida beschreibt die Spur als Wirkung einer Abwesenheit, die nicht einfach verschwindet. Salcedos Möbel, Risse und blockierten Räume machen diese Spannung körperlich erfahrbar. Das Fehlende wird nicht ersetzt, aber es verändert die Gegenwart.;Wie kann eine Spur Abwesenheit zeigen?
119;louise-bourgeois;Louise Bourgeois;n-katherine-hayles;N. Katherine Hayles;Louise Bourgeois bindet Erinnerung an Stoffe, Möbel, Körperformen und Räume. N. Katherine Hayles kritisiert die Vorstellung, ein Muster könne unabhängig von seiner Verkörperung vollständig erhalten bleiben. Bei Bourgeois lässt sich Erinnerung deshalb nicht auf eine abstrakte Geschichte reduzieren. Material, Maßstab und räumliche Nähe bestimmen mit, wie sie gegenwärtig wird.;Was trägt das Material zur Erinnerung bei?
120;marina-abramovic;Marina Abramović;wendy-hui-kyong-chun;Wendy Hui Kyong Chun;Marina Abramović wiederholt Handlungen unter strengen Regeln, bis Gewohnheit und Belastung sichtbar werden. Wendy Hui Kyong Chun untersucht, wie Wiederholung Gewohnheiten erzeugt und dadurch Ordnungen stabil hält. Bei Abramović bekommt diese Stabilität einen Preis. Der Körper muss die Regel jedes Mal neu ausführen und verändert sich dabei.;Wann wird Wiederholung zur Gewohnheit?
121;mona-hatoum;Mona Hatoum;susan-leigh-star;Susan Leigh Star;Mona Hatoum lässt vertraute Räume und Gegenstände unsicher werden. Susan Leigh Star zeigt, dass Infrastruktur meist erst auffällt, wenn etwas nicht mehr reibungslos funktioniert. Hatoum nutzt genau diesen Moment. Ein vertrauter Gegenstand verliert seine Selbstverständlichkeit und macht die räumlichen Regeln sichtbar, auf die wir uns gewöhnlich verlassen.;Was wird sichtbar, wenn Vertrautes nicht mehr funktioniert?
122;agnes-martin;Agnes Martin;hannah-arendt;Hannah Arendt;Hannah Arendt versteht eine gemeinsame Welt nicht als Ort identischer Wahrnehmungen. Gemeinsam wird etwas gerade dadurch, dass dasselbe Ding aus verschiedenen Positionen erscheinen kann. Agnes Martins Raster bietet eine ungewöhnlich stabile Form für solche Verschiedenheit. Das Bild bleibt dasselbe, während Aufmerksamkeit, Abstand und Erfahrung der Betrachtenden auseinandergehen.;Kann dasselbe Bild verschiedene Blickpunkte zusammenhalten?
123;louise-bourgeois;Louise Bourgeois;henri-bergson;Henri Bergson;Louise Bourgeois kehrt immer wieder zu früheren Erfahrungen, Figuren und Räumen zurück. Henri Bergson versteht Erinnerung nicht als gespeichertes Bild, das unverändert abgerufen wird. Vergangenes wirkt aus der jeweiligen Gegenwart neu. Bourgeois' Cells zeigen genau diese Bewegung: Erinnerung bekommt wieder eine Form, aber nie dieselbe Gegenwart.;Wie verändert Gegenwart unsere Erinnerung?
124;hanne-darboven;Hanne Darboven;karen-barad;Karen Barad;Hanne Darboven ordnet Zeit durch Kalender, Zahlen und Schrift. Karen Barad fragt, wie ein Apparat mitbestimmt, was überhaupt als Unterschied erscheinen kann. Darbovens Verfahren registriert Zeit deshalb nicht einfach. Es legt fest, welche Aspekte eines Tages als Zahl, Datum oder Zeichen wiederauffindbar werden und welche außerhalb dieser Ordnung bleiben.;Was macht eine Notation sichtbar?
125;eva-hesse;Eva Hesse;susan-leigh-star;Susan Leigh Star;Eva Hesses Werke altern auf eine Weise, die Museen vor praktische Entscheidungen stellt. Susan Leigh Star untersucht Infrastrukturen, die im Hintergrund Stabilität ermöglichen. Bei Hesse wird diese Infrastruktur besonders deutlich, weil Konservierung, Lagerung und Ausstellung daran mitwirken, wie ein veränderliches Werk weiterbesteht. Die Skulptur und ihre institutionelle Pflege lassen sich nicht vollständig trennen.;Wer hält ein alterndes Werk zusammen?
126;marina-abramovic;Marina Abramović;donna-haraway;Donna Haraway;Marina Abramović setzt ihren eigenen Körper einer Situation aus und macht seine Anwesenheit zum Material der Arbeit. Donna Haraway fordert einen Blick, der seine körperliche und räumliche Position nicht verleugnet. Abramović zeigt, dass auch eine scheinbar einfache Regel für verschiedene Körper nicht dieselbe Erfahrung bedeutet. Anwesenheit ist immer situiert.;Wie verändert der Körper die gleiche Regel?
127;rebecca-horn;Rebecca Horn;n-katherine-hayles;N. Katherine Hayles;Rebecca Horns Prothesen verändern, was ein Körper tun und wahrnehmen kann. N. Katherine Hayles verbindet das Posthumane nicht mit dem Verschwinden des Körpers, sondern mit der Kritik am vollständig autonomen Subjekt. Bei Horn verteilt sich Handlung auf Organismus, Mechanik und Umgebung. Der Körper wird nicht ersetzt, aber seine Fähigkeiten gehören ihm nicht mehr allein.;Wer handelt, wenn Körper und Apparat nur gemeinsam handeln können?
128;mona-hatoum;Mona Hatoum;lucy-suchman;Lucy Suchman;Mona Hatoums Räume wirken oft vertraut, bis eine kleine Verschiebung die Bewegung darin verändert. Lucy Suchman zeigt, dass Handeln nicht einfach einem Plan folgt, sondern sich in der Situation bildet. Ein Grundriss kann vorgeben, wo Dinge stehen. Wie sich ein Körper darin orientiert, zögert oder ausweicht, entscheidet sich erst vor Ort.;Was entscheidet sich erst beim Durchqueren eines Raums?
129;doris-salcedo;Doris Salcedo;elena-esposito;Elena Esposito;Elena Esposito untersucht, wie Gegenwart mit einer Zukunft umgeht, deren Ausgang noch offen ist. Doris Salcedo arbeitet am anderen Ende dieser Zeitordnung, mit Folgen von Gewalt, die nicht mehr rückgängig gemacht werden können. Was einmal Möglichkeit, Entscheidung oder Risiko war, erscheint im Werk als festgelegte Vergangenheit. Die offene Zukunft und ihre irreversible Folge liegen plötzlich nebeneinander.;Wann wird aus einer Möglichkeit irreversible Vergangenheit?
